,recipe_id,recipe_name,aver_rate,image_url,review_nums,calories,fat,carbohydrates,protein,cholesterol,sodium,fiber
0,222388,Homemade Bacon,5,https://images.media-allrecipes.com/userphotos/720x405/876328.jpg,3,15,36,1,42,21,81,2
1,240488,"Pork Loin, Apples, and Sauerkraut",4.76,https://images.media-allrecipes.com/userphotos/720x405/1897772.jpg,29,19,18,10,73,33,104,41
2,218939,Foolproof Rosemary Chicken Wings,4.57,https://images.media-allrecipes.com/userphotos/720x405/3852182.jpg,12,17,36,2,48,24,31,4
3,87211,Chicken Pesto Paninis,4.62,https://images.media-allrecipes.com/userphotos/720x405/956156.jpg,163,32,45,20,65,20,43,18
4,245714,Potato Bacon Pizza,4.5,https://images.media-allrecipes.com/userphotos/720x405/3806117.jpg,2,8,12,5,14,7,8,3
5,218545,Latin-Inspired Spicy Cream Chicken Stew,4.61,https://images.media-allrecipes.com/userphotos/720x405/1104734.jpg,85,17,12,12,52,21,52,32
6,20453,Reuben Sandwich I,4.25,https://images.media-allrecipes.com/userphotos/250x250/225943.jpg,15,24,44,11,46,34,67,21
7,244856,Turkey Black Bean Burgers,4.86,https://images.media-allrecipes.com/userphotos/720x405/4463159.jpg,7,11,14,2,51,28,11,11
8,22402,Cranberry Pork Chops II,4.43,https://images.media-allrecipes.com/userphotos/720x405/1604955.jpg,100,11,10,10,28,12,16,7
9,258163,Schnitzel Sandwich,5,https://images.media-allrecipes.com/userphotos/720x405/4515786.jpg,1,46,54,36,68,40,47,24
10,23658,Pam's Bierocks,4.63,https://images.media-allrecipes.com/userphotos/720x405/2118998.jpg,130,15,15,13,19,11,17,8
11,244786,Zucchini Noodles and Summer Vegetables with Sweet Pepper Chicken Sausage,4.5,https://images.media-allrecipes.com/userphotos/720x405/2726927.jpg,2,10,21,3,23,13,56,8
12,260453,Fresh Balsamic Chicken Salad,4,https://images.media-allrecipes.com/userphotos/720x405/5024618.jpg,1,23,35,10,67,28,8,12
13,103305,Hearty Chili,4.25,https://images.media-allrecipes.com/userphotos/250x250/997976.jpg,3,22,29,12,57,23,58,47
14,261609,Basic Sheet Pan Chicken Sausage and Roasted Cabbage,5,https://images.media-allrecipes.com/userphotos/720x405/4589425.jpg,1,20,34,7,54,35,85,22
15,46139,Fry Bread Tacos I,3.88,https://images.media-allrecipes.com/userphotos/720x405/5064680.jpg,6,72,206,13,46,23,21,23
16,26668,Tater Tot Casserole III,4.1,https://images.media-allrecipes.com/userphotos/250x250/20893.jpg,183,20,34,13,34,12,70,17
17,185816,Sweet Pork for Burritos,4.71,https://images.media-allrecipes.com/userphotos/720x405/778557.jpg,85,18,23,11,46,24,29,4
18,79814,Slow Cooker Veggie-Beef Soup with Okra,4.1,https://images.media-allrecipes.com/userphotos/720x405/4313941.jpg,54,21,22,14,55,23,20,38
19,25507,Mock Sliders,3.2,https://images.media-allrecipes.com/userphotos/720x405/3291466.jpg,4,3,6,1,9,5,20,1
20,238886,Midnight Snack Avocado Sandwich,4.79,https://images.media-allrecipes.com/userphotos/720x405/1356257.jpg,15,27,55,13,38,8,31,52
21,235633,Red Wine Braised Short Ribs with Rosemary,4,https://images.media-allrecipes.com/userphotos/250x250/1075367.jpg,10,48,114,7,82,52,21,11
22,50908,Nanny's Goulash,4.26,https://images.media-allrecipes.com/userphotos/720x405/775803.jpg,98,14,31,3,32,15,18,11
23,73910,Butter Beef,4.07,https://images.media-allrecipes.com/userphotos/250x250/163132.jpg,342,22,53,1,56,41,18,1
24,236920,Sweet and Sour Ground Pork Stir-Fry,4.27,https://images.media-allrecipes.com/userphotos/720x405/1112095.jpg,24,18,26,10,46,25,19,15
25,235757,Chicken Pot Pie a la Jeremy and Jasmin,4.55,https://images.media-allrecipes.com/userphotos/720x405/1085225.jpg,8,23,42,11,42,22,33,12
26,8778,Cajun Chicken Pasta,4.72,https://images.media-allrecipes.com/userphotos/720x405/606388.jpg,1545,47,95,17,87,90,48,20
27,217969,Buffalo Chicken Pasta Salad,4.54,https://images.media-allrecipes.com/userphotos/720x405/657345.jpg,116,19,32,11,27,13,42,7
28,233910,Bubba's Sloppy Joes,4.6,https://images.media-allrecipes.com/userphotos/720x405/1087847.jpg,2,20,22,16,35,18,46,9
29,231459,Slow Cooker Pork with Mushrooms and Barley,3.14,https://images.media-allrecipes.com/userphotos/720x405/972054.jpg,5,12,10,5,58,23,43,13
30,233874,Stuffed Bison Burgers with Caramelized Figs and Shallots,4.7,https://images.media-allrecipes.com/userphotos/250x250/1037654.jpg,8,31,32,17,111,70,33,16
31,133604,Jen's Jambalaya,4.45,https://images.media-allrecipes.com/userphotos/720x405/807897.jpg,71,19,26,10,42,27,43,8
32,55420,The Absolute Best Potato Soup,4.71,https://images.media-allrecipes.com/userphotos/720x405/529190.jpg,13,9,5,9,16,7,53,12
33,231825,Chicken Primavera Alfredo,4.54,https://images.media-allrecipes.com/userphotos/720x405/998735.jpg,18,49,109,20,54,89,18,14
34,142456,"Rogan Josh, Lamb Shanks",4,https://images.media-allrecipes.com/userphotos/250x250/213233.jpg,20,41,59,21,102,53,95,45
35,140407,Italian-Style Deviled Eggs,4.21,https://images.media-allrecipes.com/userphotos/250x250/697998.jpg,9,7,16,1,16,65,10,1
36,26623,Mexican Meatloaf,4,https://images.media-allrecipes.com/userphotos/720x405/1005751.jpg,31,24,44,9,56,33,35,17
37,22681,Garlic Top Sirloin Pot Roast,4.3,https://images.media-allrecipes.com/userphotos/720x405/41919.jpg,168,19,25,8,63,30,33,15
38,99892,Carolina Pork Twirl,4.6,https://images.media-allrecipes.com/userphotos/250x250/659804.jpg,20,14,17,7,49,25,39,0
39,219884,Mexican Potato Nachos,4.49,https://images.media-allrecipes.com/userphotos/720x405/876203.jpg,109,16,31,6,33,17,23,20
40,25930,Simple Southwestern Chicken Salad,4.28,https://images.media-allrecipes.com/userphotos/250x250/31853.jpg,79,42,113,4,62,38,63,1
41,241535,Easy Curry Chicken,2.86,https://images.media-allrecipes.com/userphotos/720x405/2116218.jpg,6,11,14,7,26,11,21,13
42,239547,Parmesan Chicken Mini Pies,4.17,https://images.media-allrecipes.com/userphotos/720x405/1495539.jpg,5,10,14,5,28,9,31,11
43,244979,Chef John's Peanut Curry Chicken,4.81,https://images.media-allrecipes.com/userphotos/720x405/3903369.jpg,263,57,109,21,135,55,122,40
44,219754,Tasha's Taco Soup,4.68,https://images.media-allrecipes.com/userphotos/250x250/818197.jpg,20,27,56,12,43,44,57,24
45,20900,Easter Breakfast Casserole,4.52,https://images.media-allrecipes.com/userphotos/720x405/4556853.jpg,362,14,32,3,36,57,22,3
46,242492,My First Easy Cheesy Mexican Roll-Up,5,https://images.media-allrecipes.com/userphotos/720x405/2318149.jpg,1,17,15,15,37,11,30,22
47,125366,Chinese Pot Roast,4.31,https://images.media-allrecipes.com/userphotos/720x405/1031173.jpg,78,22,31,6,87,47,112,3
48,23613,Steph's Summer Salad,4.1,https://images.media-allrecipes.com/userphotos/720x405/1274907.jpg,10,36,34,22,125,45,6,21
49,63351,Lavender Chicken,4,https://images.media-allrecipes.com/userphotos/720x405/3478950.jpg,10,19,34,1,81,41,28,3
50,16246,Biggest Bestest Burger,4.22,https://images.media-allrecipes.com/userphotos/720x405/3178797.jpg,133,29,46,11,80,41,74,7
51,152220,Chicken with Green Peppers in Black Bean Sauce,4.05,https://images.media-allrecipes.com/userphotos/720x405/658707.jpg,48,13,19,6,37,14,57,15
52,212912,Beef Nilaga,4,https://images.media-allrecipes.com/userphotos/250x250/809737.jpg,5,49,116,10,86,56,23,27
53,213650,"Chicken Penne with Asparagus, Sun-dried Tomatoes, and Artichoke Hearts",4.29,https://images.media-allrecipes.com/userphotos/250x250/822061.jpg,49,37,23,37,77,13,29,60
